,index,Title,Content,Category
10,10,"
IISc B'luru develops paper-based sensor to detect hydrogen peroxide
","Researchers at the Indian Institute of Science (IISc), Bengaluru, have developed a simpler way, a paper-based sensor, for detecting even tiny volumes of hydrogen peroxide. The chemical is widely used in products like hand sanitiser as a disinfectant. The paper-based sensor can reportedly be used to check household and healthcare products' quality and for testing biological fluids like blood.",science
11,11,"
UN launches final talks on global biodiversity framework in Geneva
","UN on Monday launched its final talks to strike a deal on the global biodiversity framework in Geneva, Switzerland. Representatives from 164 countries will discuss over an international pact to safeguard nature and protect vulnerable species with a target of conserving 30% of countries' territory by 2030. The talks are slated to be held from March 14 to 29.",science
12,12,"
Marks on Japanese monkey’s tooth may question human evolution: Study
","Scientists from New Zealand, Japan said unusual toothpick-like marks on teeth of wild  Japanese monkeys may have significant implications on human evolution. As per the study, the grooves which were found in ancient human fossils were evidence of use of tools. However, the scientists said Japanese monkeys have not been seen using tools suggesting reassessment of cultural habits in humans.",science
13,13,"
Air pollution linked to depressive symptoms in adolescents: Study
","A study that examined 213 adolescent participants (aged 9-13 years) has found that exposure to ozone gas, an air pollutant, released by motor vehicles, power plants etc. causes depressive symptoms in adolescents. The study has found that adolescents who lived in areas with more ozone gas levels showed symptoms like persistent feelings of sadness, sleep disturbances and suicidal thoughts.",science
14,14,"
Octopuses are using garbage in ocean including beer cans for shelter: Study
","Researchers in Brazil have compiled 261 photos and videos of 24 species of octopuses interacting with human litter on ocean floor. These photos show octopuses using beer cans, plastic and glass bottles, battery and a rusted metal pipe for shelter. Researchers, thus, concluded that human-made trash may be more ubiquitous for octopuses to hide in than natural shelter like seashells.",science
15,15,"
EU to propose 'amber' category for gas, nuclear energy investments
","EU chief advisor Nathan Fabian on Tuesday said bloc will shortly propose a new category 'amber' for not-fully green investments such as gas, nuclear energy. This comes after Fabian had opposed including both as green investments. Notably, gas, nuclear energy play a role in transition towards green fuel as they are low-carbon but produce greenhouse gases and radioactive waste respectively.",science
16,16,"
2022 will be among the 10 hottest years on record: Scientists
","As per the National Oceanic and Atmospheric Administration, 2022 had a baking-hot start and scientists are certain that this year is going to be among the top 10 hottest years on record. As per the global surface temperature recorded in January and February, 2022 was the sixth-hottest year. Moreover, there's 2.8% chance for 2022 to be the hottest year ever.",science
17,17,"
Scientists create material that could make lighter, stronger vehicles
","US scientists have created a new lightweight, shock-absorbing material that could help make lighter but stronger helmets, automobiles and aerospace parts. Researchers used Liquid Crystal Elastomers (LCEs) to increase the material's ability to hold strikes. Team observed that the material withstands impact from objects weighing about 1.8 to 6.8 kilograms coming at speeds of about 35.4 kilometres.",science
18,18,"
Wind power generation to rise nearly 70% by 2024 in Sweden: Govt 
","Swedish Energy Agency, a state-run body on Monday said wind power generation in Sweden is expected to rise by about 70% by 2024. As per the agency, wind power generation is expected to rise from 27.4 terawatt hours (TWh) in 2021 to 46.9 TWh in 2024. The report added hydropower and nuclear energy will remain the country's largest power sources.",science
19,19,"
Invasive insects will kill 1.4 million US street trees by 2050: Study
","A recent study has found that invasive insects will kill 1.4 million street trees in the US in next 30 years costing over $900 million to replace. The study predicted that 90% of these tree deaths would be due to emerald ash borer. As per the study, New York, Chicago and Milwaukee would be the hotspots of these tree deaths.",science
20,20,"
Dengue cases fell drastically during COVID lockdown: Lancet study 
","Dengue cases across the globe fell drastically during the COVID-19 lockdown, a Lancet study has found. The study estimated that 7,20,000 fewer dengue cases were reported worldwide in 2020 as public places were shut following the restrictions imposed by government and local authorities to contain the spread of coronavirus. The data was collected from 23 countries spanning dengue-endemic regions.",science
21,21,"
China slams 4 firms for falsifying carbon data, forging test reports
","China's Ministry of Ecology and Environment (MEE) charged four data verification firms with tampering and forging test reports, making false coal samples and writing distorted, inaccurate conclusions. The move is a part of a campaign by MEE that aims to determine the accuracy of carbon emission verification reports submitted across China. The campaign was launched in October-December last year.",science
22,22,"
Cats evolved from 42 million-yr-old sabre-toothed predators: Research
","According to research, cats have evolved from hypercarnivore, sabre-toothed predators that lived 42 million years ago in North America. They were among the first mammals to have an exclusively meat-based diet. The species was double in size of an average house cat and was fierce enough to take down animals such as rhinoceroses, camels, tapirs, pigs and horses.",science
23,23,"
Scientists find new species of giant tortoise on Galapagos Islands
","Ecuador's Galapagos National Park on Thursday said scientists found a new species of giant tortoise. The team compared DNA of tortoises that are currently living on Galapagos Islands with bones, shells collected from the species in 1906. They found nearly 8,000 tortoises, previously identified as Chelonoidis chathamensis matched a different lineage which may have belonged to an extinct species.",science
24,24,"
US proposes plan to cut smog pollution from power plants, industries
","US Environmental Protection Agency (EPA) on Friday proposed stringent rules to control and lessen interstate smog pollution from power plants and industries. Named 'Good Neighbour', the plan would aim to cut about 29% emissions of smog-forming nitrogen oxides from power plants by 2026. The agency added that the measures will also target a 15% reduction from other industrial sources. ",science
25,25,"
Germany's greenhouse gas emissions rose by nearly 5% in 2021: Govt
","German Environment Agency (UBA) said the country's greenhouse gas emissions rose by just under 5% in 2021 as compared to the year before that. The federal agency added emissions were 39% lower than the 1990s. However, the report revealed that the country emitted 762 million tonnes of carbon-dioxide last year which is 33 million tonnes more than in 2020.",science
26,26,"
Earth-forming meteorites may have formed in outer solar system: Study
","Japanese researchers suggested that meteorites that helped form Earth may have formed in the outer solar system. Team revealed that these asteroidal materials may have been transported in inner solar system by chaotic mixing during early turbulent phase of solar system. As per study, surface minerals of these outer-belt asteroids may have sourced building blocks of Earth's water and life.",science
27,0,"
Sanctions on Russia could cause ISS to crash: Roscosmos chief
","Western sanctions against Russia over invasion of Ukraine could cause the International Space Station (ISS) to crash, the head of Russian space agency Roscosmos has said. Calling for the sanctions to be lifted, Dmitry Rogozin said they could disrupt the operation of Russian vessels servicing the ISS. The ISS could ""fall down into sea or onto land"", he added.",science
28,1,"
Even mild COVID-19 can cause brain to shrink: Oxford University study
","COVID-19 can cause the brain to shrink up to 2%, reduce grey matter in regions controlling emotion and memory, and damage areas controlling the sense of smell, an Oxford University study has found. The scientists said the effects were even seen in people who had mild COVID-19. Whether the impact can be partially reversed or not needs more investigation.",science
29,2,"
Fish species bearing bright pink colour found in coral reefs of Maldives
","A new fish species bearing bright pink colour has been found living in the deep reefs of the Maldives and Sri Lanka. The species have been named 'Cirrhilabrus finifenmaa', one of the first species to be named in Dhivehi, the language spoken in the Maldives. 'Finifenmaa' name was chosen because of its vibrant pink hue resembling a pink rose. 
",science
30,3,"
Man's tongue turns black, hairy in Kerala; pics surface
","A Kerala man's tongue turned black and hairy after he was put on a pureed diet following a stroke, according to a report published in the JAMA Dermatology journal. Doctors diagnosed him with a medical condition called lingua villosa nigra or black hairy tongue. ""The patient and caregivers were given advice regarding proper cleansing measures,"" the report said.",science
31,4,"
Rare 250-kg carpenter shark caught in Karnataka, pics surface
",A rare and endangered species of sawfish or carpenter shark has been caught off coast in Karnataka's Malpe. The shark weighed around 250 kg. It was caught by a fishermen boat and was shifted from the boat to a truck with the help of crane. It is a protected species in India under Schedule I of Wildlife Protection Act 1972.,science
32,5,"
Man who got world's 1st pig heart transplant dies after 2 months in US
","The first person to receive a heart transplant from a pig has died two months after the surgery, the US hospital that performed the surgery announced on Wednesday. While doctors didn't give an exact cause of death, they said 57-year-old David Bennett's condition had begun deteriorating several days earlier. He got a transplant from a genetically modified pig.",science
33,6,"
SpaceX Polaris Dawn crew members to carry Ukraine's flag to space
","The crew members of the upcoming SpaceX mission called 'Polaris Dawn' will carry Ukraine's flag to space as a sign of solidarity. It will be the debut mission of the Polaris Program, which so far includes three flights on SpaceX vehicles. ""The...crew will take this flag to a place...that still remains beyond the reach of tyranny,"" program officials tweeted.",science
34,7,"
Let the American broomstick fly: SpaceX director on launch of Starlink satellites
","SpaceX's launch director took a dig at Russian space agency's chief Dmitry Rogozin's recent remark during launch of Starlink satellites. ""Time to let the American broomstick fly and hear the sounds of freedom,"" the director said as the rocket prepared to take off. Rogozin earlier said Americans could ""fly on their broomsticks"" after Russia stopped selling rocket engines to US.",science
35,8,"
US startup Astrolab unveils rover that can be driven by astronauts on Moon
","US startup Venturi Astrolab has unveiled a full-scale prototype of a new rover 'FLEX' designed to transport cargo and astronauts across Moon's surface. FLEX, which can be driven by astronauts, went through a five-day field test in a desert. If NASA adopts FLEX for Artemis, it would become the first passenger-capable rover to travel Moon's surface since Apollo 17 mission. ",science
36,9,"
Stellar explosion pushed particles close to cosmic speed limit: Study
",A study published on Thursday said a massive explosion in a white dwarf star called nova accelerated particles close to cosmic speed limit. Scientists said gamma rays which were obtained from the shockwave were pushed close to theoretical speed limit which is near to the speed of light. The team used High Energy Stereoscopic System (HESS) to observe the explosion.,science
37,10,"
Millions living in polluted sacrifice zones across Earth, warns UN expert
","Millions of people across the world are living in ""sacrifice zones"" suffering from strokes, cancers, respiratory problems and heart disease as a result of extreme pollution in the environment, UN expert, David Boyd warned. These sacrifice zones are places with devastating physical and mental health consequences and human rights violations created as a result of man-made climate crisis, he said.",science
38,11,"
Tick saliva drugs can replace painkillers, ease itching in people: Study
","Votucalis, a protein found in tick saliva, can be used to make a drug that can replace painkillers and ease itching in people, as per research published in Frontiers in Pharmacology journal. The saliva of brown-ear tick, Rhipicephalus appendiculatus, contains protein that binds with histamine, preventing it from activating cell surface receptors, thereby reducing itching or chronic pain responses.",science
39,12,"
Sea creatures learned to gallop even before land animals existed: Study
","A study has found that fish-like animals pioneered the ability to gallop 472 million years ago, even before the complex form of life emerged onto land. According to the analysis, ancestral sea creatures were capable of moving with some kind of proto-asymmetric gait. But researchers believe many of the modern-day animals may have lost this ability during evolution.",science
40,13,"
Scientists develop early screening tool to detect autism in 1-2 year olds
","Australian scientists have developed a screening tool capable of detecting autism in one to two years old toddlers, which is three years earlier than current methods. They studied 13,500 children in five years and found their tool detected autism accurately in 83% of them. This helped in better verbal and overall cognition at school age in such children, researchers said.",science
41,14,"
Oldest known ancestor of octopuses had 10 limbs: Study
","Palaeontologists on Tuesday said the oldest known ancestor of octopuses which lived nearly 330 million years ago had 10 limbs with two of them twice as long as the other eight. Named Syllipsimopodi bideni after US President Joe Biden, the animal was 12 centimetres long and had two parallel rows of suckers up and down each arm. ",science
42,15,"
Buzz Aldrin's moonwalk photo taken by Armstrong sells for ₹5.9 lakh
","An original picture of former astronaut Buzz Aldrin's moonwalk during the first manned lunar landing was sold at an auction for around ₹5.9 lakh. A series of 74 privately-owned photographs from Apollo 8-17 missions sold for ₹1.3 crore in the US. Aldrin's picture was taken by late US astronaut Neil Armstrong, whose reflection could be seen on Aldrin's visor.",science
43,16,"
Italy clears construction of 6 wind farms as part of renewables drive
","Italian government has approved construction of six wind energy farms as part of its measures to spur the development of renewable energy. With a capacity of 418 megawatts, the parks will be developed in the regions of Puglia, Basilica and Sardinia. This comes as the government ramps up efforts to lessen reliance on Russian gas imports.",science
44,17,"
Deforestation in Amazon rainforest hit record levels in Feb: Brazil
","Brazil's National Institute of Space Research (INPE) on Friday said deforestation levels in Amazon rainforest hit record levels in the month of February. As per INPE, a total of 199 square kilometres were cleared, up 62% from February 2021. INPE added that destruction was three times higher in the first two months than in the same period last year.",science
45,18,"
Green agriculture, conservation techniques employed in US farms: Govt
",US Department of Agriculture (USDA) said farmers adopted conservation strategies to enhance climate-friendly agricultural practices across farms in the country. The findings released on Thursday found that farmers built buffers and wind breaks around fields to prevent soil erosion. The report added that farmers used conservation tillage techniques on over 210 million acres of farms nationwide.,science
46,19,"
Mummification in Europe could be older than previously known: Study
","Researchers found mummies dating back 8,000 years ago in Portugal's Sado Valley suggesting that mummification in Europe could be older than previously known. During the study of burials, team found an absence of disarticulation in parts of skeleton and an infilling of sediment around bones, both signs of mummification. Mummification is preservation of body after death by deliberately drying flesh.",science
47,20,"
Russian space agency head bars employees from leaving country: Report
","Dmitry Rogozin, Head of Russian space agency Roscosmos prohibited agency employees from travelling abroad in order to curb brain drain, reported Kamil Galeev, a Moscow-based journalist. This comes as skilled professionals from IT, engineering, and hard sciences are leaving en masse, Galeev added. Reportedly, border guards are instructed to stop IT engineers, specialists from leaving the country.",science
48,21,"
Meteorite gouged 31 km-wide crater into Greenland 58 mn years ago: Study
","The 31 km-wide crater that was discovered beneath Greenland's thick Hiawatha ice sheet in 2015 was formed due to the impact of a meteorite that struck the country 58 million years ago, researchers have found. Scientists took samples of sand from the crater and heated them. Using the argon gas thus released from the samples, they estimated its actual age.
",science
49,22,"
Researchers suggest saffron was 1st domesticated in Bronze Age Greece
","Researchers said artworks, genetics both pointed out that saffron or Crocus sativus, world's costliest spice, was first domesticated in Bronze Age Greece, around 1700 BC or earlier. Team revealed that artworks from ancient Greece's Minoan civilisation were likely the oldest to depict use of domesticated saffron. Scientists also found flowers with similar traits depicted on ceramics and cloth.",science
50,23,"
Serious mental illness may increase risk of heart disease in adults: Study
","A US-based study that analysed over 6,00,000 adults revealed that people who are diagnosed with serious mental illness like bipolar disorder, schizophrenia or schizoaffective disorder may be at higher risk of developing cardiovascular diseases at young age. The study found that such people die 10-20 years earlier than the general population with the leading cause of death being heart diseases.
",science
51,24,"
NASA to open moon sample sealed 50 yrs ago to study them in new ways
","NASA is about to open vacuum-sealed sample of moon collected during Apollo 17 mission in 1972. ""Agency knew science and technology would evolve and allow scientists to study...material in new ways to address new questions,"" NASA's Lori Glaze said. This sample is expected to contain some gases. A different tool has been designed to capture these gases for further research.
",science
52,25,"
Sometimes sharks sleep with their eyes open, find scientists
","Australian scientists have found that sometimes sharks sleep with their eyes wide open. In order to study their sleeping patterns, scientists collected seven draughtsboard sharks from Hauraki Gulf in New Zealand. They found during sleep some sharks remained inactive for more than five minutes with their eyes closed, but 38% of the time their eyes were found to be open.",science
53,26,"
Chandrayaan-2 spectrometer discovers Argon in Moon's exosphere: ISRO
","ISRO on Tuesday said that Chandra's Atmospheric Composition Explorer-2, a mass spectrometer onboard Chandrayaan-2 mission has made the first-of-its-kind observations of global distribution of Argon-40 in the tenuous lunar exosphere. ""These observations provide insight on the dynamics of the lunar exospheric species..."" ISRO added. Earlier, the gas was found only near Moon's equatorial region.",science
54,0,"
Oldest known ancestor of vampire squids, octopuses named after Biden
","Researchers have identified the oldest known ancestor of vampyropods and named it after US President Joe Biden. 'Syllipsimopodi bideni' had 10 arms, fins, and rows of suckers to grasp prey. It lived 328 million years ago and represents a new species of vampyropods, the group of marine animals that includes vampire squids and octopuses.",science
55,1,"
Musk mocks Russia's 'let US fly to space on broomsticks' remark with SpaceX launch
","SpaceX CEO Elon Musk mocked Russia after the country said it would stop providing rocket engines to the US in retaliation to sanctions. ""Let them fly on something else, their broomsticks, I don't know what,"" Russian space agency's chief Dmitry Rogozin had said. Commenting on a video of SpaceX launching 47 Starlink satellites into orbit, Musk wrote, ""American broomstick.""",science
56,2,"
300-yr-old mummy of a mermaid-like creature to be studied by Japanese scientists
","A group of scientists from Japan's Kurashiki University of Science and the Arts will study a nearly 300-year-old mummy that's in the shape of a 'mermaid'. The mysterious 12-inch creature was allegedly caught in the Pacific Ocean between 1736, 1741. Pictures of the creature show it has pointed teeth and its lower half has scales and a tail-like tapered end.",science
57,3,"
Rocket space junk travelling at 8,850 km/hr to hit Moon today, cause huge crater
","A four-tonne rocket body will crash into the Moon on Friday, marking the first time that space junk is accidentally hitting lunar surface. It'll smash into a crater at a speed of 8,850 km/hr and create a crater of its own. The rocket booster, believed to be part of China's Chang'e 5-T1 mission, is expected to slam at 12.25pm GMT.",science
58,4,"
Antarctic explorer's ship found 107 years after it sank
","The wreck of Endurance, the lost ship of Antarctic explorer Sir Ernest Shackleton, was found at the weekend at the bottom of the Weddell Sea. The ship was crushed by sea-ice and sank in 1915, forcing Shackleton and his men to escape on foot and in small boats. Its name - Endurance - is clearly visible on the stern.",science
59,5,"
Go SpaceX: Kimbal on Russia's 'let US fly to space on broomsticks' remark
","SpaceX CEO Elon Musk's brother Kimbal Musk cheered SpaceX on Twitter saying, ""Go SpaceX"", reacting to Russia's ""let US fly to space on broomsticks"" remark. ""I think the United States will be just fine,"" he added. Earlier, Elon Musk commented on a video of SpaceX launching 47 Starlink satellites into orbit, and said, ""American broomstick.""
",science
60,6,"
UK study suggests Stonehenge served as a solar calendar once
","UK researchers suggested one of Britain's oldest monument, Stonehenge served as a solar calendar once due to its alignment with the sun during winter, summer solstices. One of the researchers, Timothy Darvill said sarsen stones' layout depicted a physical representation of a year consisting of 365.25 days. Darvill added each of the 30 stones represented a day within a month.",science
61,7,"
China plans to use reusable rockets for manned space missions: Report
","China Aerospace Science and Technology (CASC), a state-owned firm plans to use reusable rockets to carry country's new Shenzhou spacecraft for manned missions, reported Space.com. As per the report, the reusable rocket will come in two variants, two-stage for manned missions and three-stage for deep space voyages. Reportedly, tethered landing devices will be deployed during rocket's landing phase.",science
62,8,"
NASA launches satellite for US agency to track weather activity
","NASA on Tuesday launched the third in a series of weather satellites for US' National Oceanic and Atmospheric Administration (NOAA) to support weather forecasts for US' West Coast, Hawaii and Alaska. The launch was a part of GOES (Geostationary Operational Environmental Satellites) program. As per NASA, the satellite will also track wildfires, flash floods, dust storms and landslides.",science
63,9,"
Astronomers discover first-ever black hole that spins on its side
","A team of international astronomers discovered the first-ever black hole that spins on its side. In the star system, MAXI J1820+070, the researchers found the black hole's rotation axis tilted by more than 40 degrees with respect to its orbital axis. ""This finding challenges current theoretical models of black hole formation,"" said study author, Svetlana Berdyugina.",science
64,10,"
NASA's Curiosity rover captures photo of tiny mineral flower on Mars
","NASA shared a close-up picture of a tiny, flower-like mineral deposit on the surface of Mars captured by Curiosity rover. ""It's a concretion, eroded from sedimentary rock that was cemented by mineral-rich groundwater,"" the rover's Twitter handle informed. The centimetre wide branching rock resembles a sponge or coral but is lifeless. It was likely formed when water still covered Mars.",science
65,11,"
UN countries to create world's 1st treaty to fight plastic pollution
","UN countries on Wednesday agreed to create world's first global treaty to fight plastic pollution across oceans, rivers and lands. ""Today we wrote history. Plastic pollution has grown into an epidemic,"" said Espen Barth Eide, UN Environment Assembly President. Approved by 175 member countries, it is regarded as the most significant green deal since the 2015 Paris climate agreement.
",science
66,12,"
Govt yet to submit emissions targets 4 months after 'net-zero' vow
","Centre has not yet submitted its targets for cutting greenhouse gas emissions, four months after PM Narendra Modi announced India would stop greenhouse emissions by 2070. ""We don't have time anymore"" to wait for all.. to start reducing emissions, said Niklas Höhne, a scientist tracking emission pledges. He urged government to come up with specified targets achievable with country's resources.",science
67,13,"
SpaceX launches 47 Starlink satellites in its 9th launch this year
","Elon Musk's private space venture, SpaceX launched 47 Starlink satellites on Thursday as part of its ninth launch this year. The newly-launched satellites have joined over 2,000 others, all deployed to create first-generation constellation orbiting Earth. As per SpaceX, the constellation will act as a space-based broadband internet service aimed at providing internet connectivity across the globe.",science
68,14,"
NASA studies 50-year-old lunar rock samples to plan a return to Moon
","NASA is set to analyse the last, sealed lunar rock samples from 50 years ago to know more about the Moon and plan a return to its surface. Last month, scientists started the process by extracting lunar gases stored inside a container housing samples. NASA said team will analyse soil, rocks from the container after gas extraction process is completed.",science
69,15,"
Researchers discover world's oldest-ever stegosaurus fossil in China
","Researchers from China, UK discovered world's oldest-ever stegosaurus fossil in China. Named Bashanosaurus primitivus, it lived 168 million years ago suggesting stegosaurus might have originated in Asia. With a length of 2.8 metres, Bashanosaurus had armour plates which were thicker, narrower than other stegosaurs but similar to those of first armoured dinosaurs that are over 20 million years old.",science
70,16,"
Global carbon dioxide emissions reach highest level in history: Experts
","The global emission of carbon dioxide (CO2) has reached its highest levels in history, experts said. CO2 emissions rose by 6% in 2021 to 36.3 billion metric tons, a report stated. During pandemic, carbon emission declined due to lesser consumption of fossil fuels but as the world economy rebounded post-COVID with heavy reliance on fossil fuels, CO2 emissions surged massively.",science
71,17,"
Old Stone Age culture from 40,000 years ago discovered in China
","Remnants of an Old Stone Age culture from 40,000 years ago have been unearthed in China. Xiamabei, a well-preserved Palaeolithic site has been excavated by researchers in the Nihewan Basin of northern China. While they did not discover any human remains from the site, tiny, blade-like tools made from ochre, a stone rich in iron were found.",science
72,18,"
Global food practices cause 21-37% greenhouse gas emissions: Report
","Centre for Science and Environment's annual report stated that global food practices of 7.8 billion people account for 21-37% greenhouse gas emissions every year. The report further noted emissions from food system alone will cause earth to heat above the target of 1.5 degree Celsius. The report was released by Bhupender Yadav, Minister for Environment, Forest & Climate Change.",science
73,19,"
China to bring incentives to cut pollution, carbon emissions: Govt
","Chinese government on Saturday said it will introduce new incentives to cut pollution and carbon emissions this year. China would ""work harder"" for cleaner, more efficient use of coal, said Premier Li Keqiang. He added government will increase the capacity of grids for power absorption by renewable sources. China has pledged to become carbon neutral by around 2060.",science
74,20,"
Over 75% of Amazon forest struggling to recover from wildfires, droughts: Study
","Satellite images collected over the last two decades have found that over 75% of Amazon rainforest are likely struggling to recover from extreme climatic events like droughts, wildfires and logging among others. The study published in Nature Climate Change journal also stated that the rainforest may be nearing a ""tipping point"" of dieback, where the rainforest will turn to savanna.",science
75,21,"
India lost nearly 20% species in 20 years: Zoological Survey head
","Zoological Survey of India Director Dhriti Banerjee on Thursday said around one-fifth of species in an earmarked geographical location in the country have vanished in last 20 years. Banerjee added upto 150 species a day and 18,000 to 55,000 species a year get extinct worldwide due to human activities. Meanwhile, ZSI recently flagged several fish and turtle species as endangered.",science
76,22,"
Coal India plans to become net-zero emitter in 3-4 years: Chairman
","Coal India Chairman, Pramod Agrawal on Monday said the government-owned mining company plans to become net-zero carbon emitter in three to four years. During the 15th Indian Coal Markets Conference, Agrawal said the firm's renewable energy projects, cleaner transport and greater internal energy efficiency are expected to contribute to the target. India aims to achieve net-zero target by 2070.",science
77,23,"
Tribes may have controlled Roman emerald mines by 4th century: Study
","A study by international archaeologists said nomadic tribes from Egypt's Eastern Desert, Blemmyes, may have controlled region's emerald mines of Roman Empire between fourth and sixth centuries. During the excavations, team found a set of buildings occupied or even built by Blemmyes surrounding the mines. The researchers also documented two ritual sanctuaries preserved at the main temple of Sikait.",science
78,24,"
Megalodon may have grown to larger sizes in cooler waters: US study
","US study revealed Otodus Megalodon, world's largest shark that lived upto 3.6 million years ago may have grown to larger sizes in cooler waters than in warmer areas. ""Our findings suggest a previously unrecognised body size pattern following a geography-driven ecological pattern..."" said study co-author Kenshu Shimada. Team added the species that lived in cooler areas were 18-20 metres long.",science
79,25,"
Meat of endangered sharks found in pet food: DNA study
","Scientists have discovered the DNA of endangered sharks in packaged food being fed to cats and dogs. Based on the DNA study, researchers have found that several brands of pet food contained the meat of endangered species of sharks. These brands, however, only listed 'ocean fish' as an ingredient, making the consumers unknowingly contribute to the overfishing of shark populations.",science
80,26,"
US scientists spot potential afterglow from merger of 2 neutron stars
","US scientists detected a potential afterglow from a kilonova, which occurs after two neutron stars merge to create a massive explosion. Originally detected by scientists in 2017, the blast formed a jet of high-energy particles which were replaced by X-rays in 2020. Researchers believed heated debris from the merger created a shock generating X-ray emissions, known as kilonova afterglow.",science
81,0,"
US baby becomes 1 of 100 people in the world diagnosed with 'Uncombable Hair Syndrome'
","A mother from US' Georgia has taken to Instagram to raise awareness about her one-year-old son Locklan Samples' rare genetic condition called Uncombable Hair Syndrome (UHS). Locklan, nicknamed Lock by his parents, is one of the 100 confirmed cases of Uncombable Hair Syndrome in the world. This genetic condition affects children from the age of three months to 12 years.",science
82,1,"
Spoke to you in 2011, you seemed kind, stop this madness: Ex-NASA astronaut to Putin
","Former NASA astronaut Scott Kelly has voiced his concern over the situation in Ukraine following Russia's invasion. ""Mr Putin, in 2011 I spoke with you from the ISS after my brother's wife was shot.  You seemed kind and sincere...You can stop this madness,"" he tweeted. ""I'm afraid for the Ukrainians and for my Russian friends. Everyone will lose,"" he said.",science
83,2,"
UK rejects Russian demand to sell stake in Bharti Global co-led OneWeb
","The UK has rejected Russia's demand for it to sell its stake in satellite firm OneWeb to allow a satellite launch. ""There's no negotiation on OneWeb: the UK government is not selling its share,"" UK Business Secretary Kwasi Kwarteng said. OneWeb was bought by the UK government and India's Bharti Global in a bankruptcy rescue deal in 2020.",science
84,3,"
Egyptian King Tut's dagger was made of material from outer space: Experts
","A dagger buried with Egypt's teenage King Tutankhamun was made with materials that may have come from outer space, experts have said. The dagger that was first found in 1925 was crafted from iron that may have been brought to Earth by a meteorite, said a recent study published in Meteoritics and Planetary Science journal.",science
