,Title,Content,Category
10,"
Son no longer named Wolf, we didn't feel like it was him: Kylie Jenner
","American reality television personality Kylie Jenner took to Instagram Stories to announce that her son is no longer named Wolf. She wrote, ""We just really didn't feel like it was him. Just wanted to share because I keep seeing Wolf everywhere."" Her announcement came hours after she shared a YouTube video showing intimate footage leading up to her son's birth.",entertainment
11,"
Rahul Mahajan's ex-wife Dimpy Ganguly announces third pregnancy, shares pic
","Rahul Mahajan's ex-wife, model Dimpy Ganguly, announced her third pregnancy. Taking to Instagram, Dimpy shared a photo flaunting her baby bump, in which her two kids can also be seen by her side. She captioned the post, ""The most...fulfilling love I've ever experienced is the love I have received from my babies...Can't believe very soon this love will become x3!""",entertainment
12,"
Was told I'm a 'gas tanker': Raashii Khanna on bullying in film industry
","'Rudra: The Edge of Darkness' actress Raashii Khanna, while talking about criticism she has faced in the industry, said that she was called a ""gas tanker"". ""I don't say anything because I was quite big for the mainstream that they have. And I did become fitter in time, not to please anybody...So I've faced all that bullying,"" Raashii added.",entertainment
13,"
DC used excuse to cast non-Egyptians in 'Black Adam': Mohamed Diab
","Mohamed Diab, the director of Marvel Studios' show 'Moon Knight', revealed he was ""annoyed"" with DC for creating a fictional middle eastern country as an excuse to cast non-Egyptians in 'Black Adam'. ""It was...meant to be in Egypt,"" he added. Diab said, ""It's not a full mistake since it's based on an iteration of the comics that doesn't mention Egypt.""",entertainment
14,"
Kashmiri Pandits got us food, 85-yr-old lady fed us: 'The Kashmir...' producer
","'The Kashmir Files' producer Abhishek Agarwal said Kashmiri Pandits used to get food for team while they were shooting for the film. ""I don't remember having relished food from outside. A lady who must have been about 85 years old would feed us food,"" he said, adding actor Anupam Kher and director Vivek Agnihotri would ""shed tears"" after every scene.",entertainment
15,"
All the emotions that came out on screen were real: The Kashmir Files actor
","Actor Anupam Kher's niece, Vrinda Kher, who played the role of Bhawani Kaul, a Kashmiri Pandit in the film said the ""gruesome"" climax scene really shook her. The scene shows actor Bhasha Sumbli, playing the role of a displaced Kashmiri Pandit, Sharda Pandit, being stripped by terrorists in a migrant camp. She added, ""All the emotions...came out on screen were...real.""",entertainment
16,"
Chiranjeevi, Salman's pic from Godfather sets surfaces, fan says 'Megastars'
","Actor Salman Khan has begun shooting for the Telugu film 'Godfather', which is headlined by South actor Chiranjeevi. Recently, a picture from the sets of Godfather has surfaced on Twitter. In the photo, Chiranjeevi and Salman can be seen posing with the director and producers on the set. Commenting on the post, one of the fans wrote, ""Two megastars.""",entertainment
17,"
They believe it's real me: Sudhanshu on his misogynistic character in Anupamaa 
","Speaking about his ""misogynist"" character in 'Anupamaa', actor Sudhanshu Pandey said he has been subjected to unending criticism for what 'Vanraj' does on the show. He added, ""It was new to me because I wasn't part of the television industry."" ""They start believing...what I play on show is the real me...I had to bear the trolling...on social media,"" he said.",entertainment
18,"
It will shake you to core, I cried in 1st meeting: Vipul on 'The Kerala Story'
","Sunshine Pictures has announced the movie 'The Kerala Story' based on ""true stories of about 32,000 girls and counting"". ""This story is a human tragedy, one that will shake you to the core. When Sudipto came and narrated it...along with his research of over 3-4 years, I was in tears in the first meeting itself,"" producer Vipul Shah said.",entertainment
19,"
The journey made me better: Rubina on marital issues with Abhinav
","Television actress Rubina Dilaik, speaking about her marital issues with husband actor Abhinav Shukla, said that the journey made her a better person. The couple had earlier spoken about facing tough times and contemplating divorce on 'Bigg Boss 14'. ""Being on the biggest reality show, we gave...access to people to judge us and also peek into our lives,"" she added.",entertainment
20,"
I wouldn't have made 'Runway 34' if Big B wouldn't have said yes: Ajay
","Ajay Devgn said he was certain to cast Amitabh Bachchan for his film 'Runway 34' and had no other casting choice. ""In this film, for Mr Bachchan's role, if he wouldn't have agreed, I don't even know if I would be able to cast (any other actor)."" Speaking about Amitabh, Ajay said, ""I haven't seen any other hardworking, professional actor.""",entertainment
21,"
Didn't know much about Kashmiri Pandits; I feel ashamed of myself: Darshan
","Actor Darshan Kumar, who starred in 'The Kashmir Files' said he didn't know much about the Kashmiri Pandits. He added, ""I really feel ashamed of myself. Just like today's audience I too was confused and unaware."" ""I only realised when Vivek Agnihotri and Pallavi Joshi showed me those videos of the first-generation victims. I was totally taken aback,"" he said.",entertainment
22,"
Makers planning to turn 'Jayeshbhai Jordaar' into comic book series: Report
","'Jayeshbhai Jordaar' makers are planning to turn film into comic book series, Free Press Journal quoted source as saying. ""Aditya [Chopra] wants to immortalise character of Jayeshbhai Jordaar...first thing they are planning to do is turn Jayeshbhai into comic book series. They feel character will appeal to universal set of audience...Adi wants...character to get...popular with kids!"" source said.
",entertainment
23,"
The Fame Game's Gagan Arora marries longtime girlfriend, shares pics
","Actor Gagan Arora, who portrayed Madhav in 'The Fame Game', has announced that he married longtime girlfriend Muditaa last month. Gagan shared pictures from the wedding, writing, ""With a lot of restrictions and a very small gathering...we started this new journey."" He further wrote that 12 years ago, he looked at Muditaa and told his friends he will marry her.",entertainment
24,"
Loved 'Badhaai Do', an important story told brilliantly: Samantha
","Actress Samantha Ruth Prabhu has praised Bhumi Pednekar and Rajkummar Rao-starrer 'Badhaai Do'. Taking to Instagram Stories on Monday, she wrote, ""Absolutely loved Badhaai Do. An important story told brilliantly with outstanding performances."" In the film, Bhumi played a lesbian physical education teacher, whereas, Rajkummar played the role of a gay policeman. ""Love is love,"" Samantha added.",entertainment
25,"
Preparing for most exciting role of my life: Anil as Sonam announces pregnancy
","After actress Sonam Kapoor shared pictures from her maternity shoot as a way of announcing her pregnancy, her father Anil Kapoor tweeted, ""Now preparing for the most exciting role of my life- Grandfather!"" He added, ""Our lives will never be the same again...I couldn't be more grateful! Sonam, Anand you've made us happy beyond measure with this incredible news.""",entertainment
26,"
Zelenskyy praises Mila Kunis & Ashton Kutcher after they raise $35 mn for Ukraine 
","Ukrainian President Volodymyr Zelenskyy on Monday thanked Hollywood couple Ashton Kutcher and Mila Kunis, who have been able to collect over $35 million for Ukraine through their fundraiser. Zelenskyy shared a picture of the three of them on a video call and wrote, ""They inspire the world."" Mila Kunis was born in Chernivtsi in Ukraine. ",entertainment
27,"
If I'm home, nobody asks why I'm not at work: Shefali Shah on sexism
","Actress Shefali Shah has revealed that if she is at home and hasn't gone to work, nobody asks her why she hasn't gone. ""But...I...ask [my husband filmmaker Vipul Amrutlal Shah], 'Why are you not going to office today?'"" she added. The actress further said that it has been years of conditioning that women stay home and husbands go to work.",entertainment
28,"
It's going to top the first one: Angela Bassett on 'Black Panther 2'
","Actress Angela Bassett, speaking about her upcoming film 'Black Panther: Wakanda Forever', has said, ""It's going to be amazing. It's going to top [the first] one."" Angela remembered late actor Chadwick Boseman, who played the lead in the 2018 film 'Black Panther' and called him a leader and an amazing talent. ""We just hope to raise his standard,"" she added.",entertainment
29,"
I search for films to direct which aren't easy to mount: Ajay Devgn
","Talking about directing films, Ajay Devgn said, ""When I want to make a film, I search for films which are not easy to mount."" Ajay further stated creating new visuals for his upcoming film 'Runway 34' was difficult as the film is set on the ground and air. ""It was also exciting,"" he added. The film also stars Amitabh Bachchan.",entertainment
30,"
Siddhant and I are good friends, I call us Tom and Jerry: Ananya
","Actress Ananya Panday in an interview has revealed that she is good friends with actor and 'Gehraiyaan' co-star Siddhant Chaturvedi. ""I call us Tom and Jerry because we fight a lot,"" the actress added. In a 2020 interview, Siddhant had responded to Ananya talking about the struggles she faced in Bollywood saying, ""Their struggle begins where our dreams come true.""",entertainment
31,"
Madhuri, Jackie recreate song 'Sun Beliya' from film 100 Days, share video
","Actress Madhuri Dixit recreated her song 'Sun Beliya' from 1991 film '100 Days' along with actor Jackie Shroff. Taking to Instagram, Madhuri shared a reel, dancing with Jackie Shroff and captioned it, ""Had a great time creating a reel with this peppy number from '100 Days' with @apnabhidu. Totally lit up the set."" The duo had previously worked in 'Khalnayak'.",entertainment
32,"
I'd love to come back as Aunt May, be part of multiverse: Marisa Tomei
","Actress Marisa Tomei, who portrays Peter Parker's Aunt May in the 'Spider-Man' films, has said that she would love to make another appearance in Marvel films and be a part of the multiverse. Her character was killed in Tom Holland-starrer 'Spider-Man: No Way Home'. ""May Parker hooks up with Ant-Man...There are more avenues to explore,"" Marisa added.",entertainment
33,"
I'll be stupid not to do web series, finalising debut project: Daisy
","Actress Daisy Shah has stated that the webspace has boomed amazingly, adding that she will be ""really stupid"" not to be open to doing a web series. ""I've got a few offers. I'm still finalising on what I'll make my debut with,"" the actress said. Daisy added that web series have opened up a lot of job opportunities for everyone.",entertainment
34,"
'Lagaan' inspired me to make a story on human emotions: Rajamouli
","Filmmaker SS Rajamouli has revealed that he was inspired by Aamir Khan-starrer 2001 film 'Lagaan' to make a story based on basic human emotions. ""The way the entire country connected with 'Lagaan' made a big impression on me,"" he added. Rajamouli further said 'Lagaan' was the first film to be accepted across India and it was only made in Hindi.",entertainment
35,"
Junior Artistes said 'Bharat Mata ki jai' after each take: 'The Kashmir...' actor
","'The Kashmir Files' actor Chinmay Mandlekar said junior artistes in the film said 'Bharat Mata ki Jai' after each take during the shooting of a mob scene that involved raising anti-India slogans. ""They started saying that 'we'll not do work in such a film',"" he said. ""So after every take, I [also] started saying 'Bharat Mata ki jai',"" he added.",entertainment
36,"
Rishi Kapoor wasn't self-obsessed, he was cool & calm: Juhi Chawla
","Actress Juhi Chawla has said that late veteran actor Rishi Kapoor was not self-obsessed like a lot of actors, adding that he was cool and calm. ""There was no half-hearted take with him because he got the 'sur' (note) of his part,"" the actress added. She further said that when he looked his co-star in the eye, he wasn't acting.",entertainment
37,"
Not invited to Oscars: Best Picture nominee West Side Story's Rachel Zegler
","Actress Rachel Zegler, who is the lead actress of Oscar's Best Picture nominee 'West Side Story', has revealed that she has not been invited to the ceremony. She had responded to a fan's comment about her outfit at the ceremony. A fan commented, ""So not fair,"" while another wrote, ""How’s the leading actress of a movie....up for seven...awards not invited?""",entertainment
38,"
Is it against my job to be educated: Nakuul on article on actors' qualifications
","Actor Nakuul Mehta on Monday shared an article titled 'Educational qualifications of...actors will leave you stunned'. He wrote, ""Why must it leave you stunned? Does it go against my job to be educated?"" Actress Nikita Dutta replied to his tweet writing, ""Educated no. But well-read yes,"" while journalist Surbhi Dutta wrote, ""It shows...society's mindset and how it looks at showbiz.""",entertainment
39,"
Have met kids who saw their parents being murdered: Pallavi on 'The Kashmir..'
","Actress Pallavi Joshi said that she and husband Vivek Agnihotri researched for 'The Kashmir Files' for more than four years. ""We went to...USA, UK, Germany, Singapore, Jammu and Kashmir, Pune, Thailand, Delhi...wherever we could find first family of the victim...whose father was murdered, whose mother was raped, children who saw their parents being murdered...We have met those people,"" she added.",entertainment
40,"
Proud: Karan as PM Modi inspects antiquities repatriated to India from Australia
","Ahead of Prime Minister Narendra Modi's virtual summit with his Australian counterpart Scott Morrison on Monday, Australia handed over around 29 antiquities to India. Taking to Twitter,  Filmmaker Karan Johar retweeted a video of PM Modi examining the antiquities and wrote, ""News that'll fill every Indian's heart with utmost pride @narendramodi. 29 antiquities repatriated to India from Australia.""",entertainment
41,"
Andrew reacts to 'No Way Home' not getting Oscar best film nomination
","After 'Spider-Man: No Way Home' did not receive an Oscar nomination in the Best Picture category, actor Andrew Garfield has said that he's ""pretty satisfied"" with the audience's response to the film. ""I mean, it's the sixth biggest movie in the history of movies...I think that's plenty,"" he added. The film received an Oscar nomination in the Visual Effects category.",entertainment
42,"
'The Kashmir..' reveals inhuman horror of religious bigotry: UP CM 
","Uttar Pradesh caretaker Chief Minister Yogi Adityanath took to Twitter to share a picture with the team of 'The Kashmir Files'. ""The film The Kashmir Files boldly reveals the inhuman horror of religious bigotry and terrorism. Undoubtedly, this film will work to make society and country aware. Congratulations to entire team for producing such a thought-provoking film,"" the tweet read.",entertainment
43,"
Kissed my friend while I was married to Karan; got attracted to him: Nisha
","'Lock Upp' contestant, Nisha Rawal revealed on the show that she had kissed another man while she was married to her ex-husband Karan Mehra. Nisha said, ""I met an old friend...I confided in him about...lot of things apart from the abusive past."" ""I...got attracted to him...I kissed that person. [But] I confessed [to Karan] that day itself,"" she added.",entertainment
44,"
Bombay HC rejects plea to stay OTT release of Ranveer Singh's '83'
","The Bombay High Court has rejected Mad Man Film Ventures' plea against the makers of Ranveer Singh-starrer '83' to stay its release on OTT platforms. The plea had alleged copyright infringement, adding that Mad Man had not granted its consent to the platforms to broadcast the film. The court however upheld the exploitation rights of Reliance Entertainment Studios Pvt Ltd.",entertainment
45,"
I'm staying as 'ghar jamai' at her house: Ankita Lokhande's husband Vicky Jain
","Television actress Ankita Lokhande's husband Vicky Jain said he is living at Ankita's house as 'ghar jamai'. ""We had bought a flat and repairing work, renovation and everything couldn't be completed on time because of pandemic. It got delayed...and is still pending so we couldn't shift to new house...Whenever I visit Mumbai I've been staying at Ankita's house,"" he added.",entertainment
46,"
'Race 1' was the best out of all films in the franchise: Bipasha
","Actress Bipasha Basu said that the 2008 film 'Race' was the best film of the franchise. ""It was an amazing thriller and Abbas-Mustan directing the film made it even better because they are excellent with thrillers,"" she added. This comes as the film completed 14 years of its release on Monday. ""The energy on the sets was palpable,"" Bipasha stated.",entertainment
47,"
'The Kashmir Files' creating situation that may harm India: Yechury
","Reacting to 'The Kashmir Files', CPI(M) leader Sitaram Yechury said the film is creating a situation that may cause ""great harm"" to India's social unity and integrity. Yechury added that his party was the first to speak out against the plight of Kashmiri Pandits in 1990, with its MLAs addressing the issue in the former Jammu and Kashmir Legislative Assembly.",entertainment
48,"
Words 'f***ing' & 'b**ch' removed from Telugu version of RRR: Reports
","The pan-India film 'RRR', starring actors Ram Charan and Jr NTR, reportedly had to undergo several cuts, days ahead of its release. According to reports, the Telugu version of 'RRR' has been granted a U/A certificate with three audio cuts. The abusive words like 'f***ing* and 'b**ch' were asked to be removed by the Central Board of Film Certification (CBFC).",entertainment
49,"
I'm trapped in beard, long hair over continuity of projects: Anil George
","Actor Anil George has stated that he is trapped in his look of beard and long hair due to a continuity of projects, adding that he wants to experiment. ""Makers want me in such looks and audience too loves it,"" he added. The actor further said that he had to forgo an Abbas-Mustan film due to the look.",entertainment
50,"
A producer once said 'Do you think you're Madhuri Dixit?': Gauahar
","Actress Gauahar Khan has revealed that a producer once told her, ""Tumhe kya lagta hai, tum Madhuri Dixit ho (What do you think, you are Madhuri Dixit)?"" The actress further said that another producer took her date of birth and called ten days later to say, ""You'll never become an actress...If you do, you'll only do shady and sidey roles.""",entertainment
51,"
Ajay a lavish producer, he made ₹32cr film in times of ₹8-10cr budget: Rohit
","Filmmaker Rohit Shetty has called actor-producer Ajay Devgn a lavish producer, adding that he made 2000 film 'Raju Chacha' with a budget of ₹32 crore when normal budgets were ₹8-10 crore. ""He is technically one of the most sound persons in the industry...['Runway 34] has another kind of visuals,"" the filmmaker added. Ajay has directed and stars in the film.",entertainment
52,"
Vinod Kapri shares clip of 19-yr-old man running in Noida at midnight, video viral
","Filmmaker Vinod Kapri has shared a video of a 19-year-old man running in Noida at midnight. In the clip, Kapri offered Pradeep Mehra a lift, which he refused and said he runs 10 km daily, from his job in Sector 16 to his home in Barola. Refusing dinner with Kapri, Mehra said his brother back home will be left hungry. ",entertainment
53,"
Preity Zinta shares pics from her first Holi in US since becoming mother
","Actress and Punjab Kings owner Preity Zinta took to Instagram to share pictures from her first Holi since becoming mother. She wrote, ""Even though the world isn't perfect right now & there is little to celebrate...We couldn't let...Holi go by without celebrating it as new parents. Our first big desi celebration since the pandemic & since the babies were born.""",entertainment
54,"
Every Indian must watch 'The Kashmir Files': Aamir Khan
","Aamir Khan has said every Indian must watch 'The Kashmir Files'. ""What happened to Kashmiri Pandits is a matter of great sorrow. Such a film must be watched by all Indians so...they can remember what occurred,"" he said. ""This film has touched...emotions of all people who believe in humanity and that is what is so beautiful about it,"" stated Aamir.",entertainment
55,"
Chandigarh admin declares 'The Kashmir Files' tax-free in Union Territory
","The Chandigarh administration has declared Vivek Agnihotri's film 'The Kashmir Files' tax-free in the Union Territory. ""Multiplexes and cinema theatre operators will not charge Union Territory Goods and Service Tax (UTGST) from the people. The order will be in effect for four months,"" an official statement read. The film has already been declared tax-free in several other states.",entertainment
56,"
Actress-YouTuber Dolly D Cruze passes away aged 26 in road accident
","Actress-YouTuber Dolly D Cruze died aged 26 in a road accident in Hyderabad. Dolly D Cruze, also known as Gayathri, met with an accident while returning home from a Holi party. She was travelling with a friend, who lost control of the vehicle and rammed into a divider. Dolly had recently worked in Telugu web series 'Madam Sir Madam Anthe'.",entertainment
57,"
Director Girish Malik's son died by suicide after he was asked to stop drinking: Police
","Director Girish Malik's 18-year-old son Mannan had died by suicide by jumping from the fifth floor of an apartment building in Mumbai on Friday, police have said. Mannan took the step at the Oberoi Springs building in Andheri after his father had allegedly asked him to stop drinking and behave well with his mother, added the police.",entertainment
58,"
When is a movie declared tax-free?
","There are no fixed criteria for a film to claim or enjoy tax exemption and the decision to give up tax revenues by state governments are taken on a film-to-film basis. When a film deals with a socially relevant or inspiring subject, state governments waive tax on it to make it accessible to a wider audience.",entertainment
59,"
Actress Sonam Kapoor announces pregnancy, shares pics
","Actress Sonam Kapoor took to Instagram to announce that she's expecting her first child with husband Anand Ahuja. Sharing pictures, she wrote, ""Four hands. To raise you the very best we can. Two hearts. That will beat in unison with yours...every step of the way. One family. Who'll shower you with love and support. We can't wait to welcome you.""",entertainment
60,"
'Donate 'The Kashmir Files' profits for Brahmin kids,' says MP IAS officer
","MP Public Works Department's Deputy Secretary Niyaz Khan has triggered a controversy by saying that all the earnings of 'The Kashmir Files' must be donated for Brahmin children's education and construction of homes for them in Kashmir. ""It will be a great charity,"" said Khan in a now-viral tweet. MP minister Vishwas Sarang said he'll seek action against Khan.",entertainment
61,"
Aryan, Jahnavi & Suhana are not just the future but present of KKR: Juhi
","Actress Juhi Chawla's daughter Jahnavi participated in this year’s IPL auction ceremony. When asked if Jahnavi and actor Shah Rukh Khan's children, Aryan Khan and Suhana Khan can be tagged as the future of KKR, Juhi said, ""Not just...future, they're...present of the team."" ""It's...funny how there was a time when our kids would be...home and we'd be on...screen,"" she added.",entertainment
62,"
Dad never let me use family name privilege: Mithun's son
","Actor Mithun Chakraborty's son Mimoh Chakraborty said that his father never let him use the ""privilege of family name"" and that he is facing his own demons. ""He [Mithun] told me that if I wanted something I have to earn it,"" Mimoh said, adding that Mithun's work is ""unlimited"" and that ""there is no stopping him"".",entertainment
63,"
Akshaye Khanna deserves lot of credit for Race's success; he's gifted: Saif
","Actor Saif Ali Khan, who worked with actor Akshaye Khanna in 'Race', praised his performance in the film. Speaking about Akshaye, Saif said, ""Akshaye deserves a lot of credit for making 'Race' what it is by performing his role in such a special way."" ""He is...a gifted actor and he had a lot of fun with that role,"" Saif added.",entertainment
64,"
Tiger is biggest action hero the industry currently has: Ahmed Khan
","Director Ahmed Khan has said that Tiger Shroff is the biggest and the youngest action hero the film industry currently has. ""The way he manoeuvres complex action sequences and makes them look super effortless, speaks volumes of his constant dedication because this guy...puts his 200% into his work,"" he added. Tiger's upcoming film 'Heropanti 2' is directed by Ahmed.",entertainment
65,"
BJP promoting 'The Kashmir Files' to win Guj, Raj elections: Raut
","Shiv Sena MP Sanjay Raut on Sunday accused the BJP of promoting 'The Kashmir Files' with an eye on the forthcoming Assembly polls in Gujarat and Rajasthan. He added that an attempt has been made in the film to suppress several ""harsh truths"". The film has been brought to the screen with inspiration from the Sangh Parivar (RSS), he claimed. ",entertainment
66,"
Kaaranvir breaks down on 'Lock Upp' as he meets wife, daughters; video surfaces
","Actor Kaaranvir Bohra, who is currently a contestant on the reality show 'Lock Upp', broke down when his wife Teejay Sidhu and daughters Bella, Vienna and Gia visited him on the show. In the video that was posted on his Instagram page, he can be seen crying while hugging his daughters. His youngest daughter can also be seen running around. ",entertainment
67,"
Ranvir in 'Race' was an opportunity to play more serious role: Saif
","Actor Saif Ali Khan, talking about his role in the 2008 film 'Race', said that playing Ranvir in the film was an opportunity for him to play ""a slightly more serious role"". He added, ""At that point, I had done a lot of chocolate boy roles and Race was different."" The film completes 14 years of its release on Monday.",entertainment
68,"
Importance of Alia's character in 'RRR' is high: Director Rajamouli
","'RRR' director SS Rajamouli said Alia Bhatt's role in the film isn't a full-fledged character but is an important cameo. He added they needed a ""fragile-looking girl"" with ""enough inner strength"" to lead Ram Charan and Jr NTR's characters in a proper way. Talking about the length of character, Rajamouli stated, ""It's less but the importance of the character is...high.""",entertainment
69,"
Elon Musk among witnesses in Johnny Depp & Amber Heard's court case
",World's richest person Elon Musk has been included in list of witnesses slated to testify in a defamation lawsuit filed by Johnny Depp against his ex-wife Amber Heard. Depp has alleged that Heard had an extra-marital affair with Musk and James Franco while they were married. Both Musk and Franco are scheduled to testify virtually during the trial next month.,entertainment
70,"
Aamir performs Naatu Naatu song with Alia, Ram Charan & Jr NTR, video surfaces
","A video has surfaced online where Aamir Khan attempted 'Naatu Naatu' dance steps with 'RRR' stars Jr NTR and Ram Charan at a recent promotional event for the film. Aamir tried to do the dance steps with Ram Charan, Jr NTR and said, ""I can't do it."" Alia Bhatt then added from behind, ""It's very easy, even I learnt it.""",entertainment
71,"
Haven't had kaju katli in 27 years, sugar is biggest poison: John
","During a True or False session with Shilpa Shetty, actor John Abraham revealed that he hasn't had his favourite sweet, kaju katli, for 27 years. ""I believe...that sugar is the biggest poison in the world, more than cigarette smoking,"" he stated. John further added that he does not have aerated drinks. John will next be seen in 'Ek Villain Returns'.",entertainment
72,"
RGV praises The Kashmir Files, says 'I hate it; it destroyed whatever I learnt'
","Filmmaker Ram Gopal Varma reviewed the film 'The Kashmir Files'. Taking to Twitter, Varma shared a video titled 'I hate Kashmir Files'. In the video, he praised the film and said, ""'The Kashmir Files' released and broke every rule in the book."" ""I hate 'The Kashmir Files' because it destroyed whatever I learnt, whatever I thought was right,"" he added.",entertainment
73,"
Rapper Doja Cat spots fan in distress, stops performance, video surfaces
","American rapper Doja Cat stopped her performance midway after she spotted a fan in the crowd in distress. ""I love you guys, I really do. We can't have that happening...I'm sorry, I can't keep going if things aren't good,"" she said, adding, ""It's nobody's fault. This stuff happens...There's a lot of people, and people get crushed. It's a lot.""",entertainment
74,"
No, not really: Kanye's girlfriend Chaney on if she resembles Kim
","On being asked if she sees the resemblance between herself and Kim Kardashian, rapper Kanye West's girlfriend Chaney Jones replied, ""No, not really."" Chaney added that she and Kanye don't talk about Kim. Instagram model Chaney gained popularity for being a lookalike of Kim. Earlier, Chaney took to Instagram and posted pictures with Kanye and captioned it, ""Date night.""",entertainment
75,"
Mother delayed death to help us be accustomed to emptiness: KPAC Lalitha's son
","Late actress KPAC Lalitha's son Sidharth Bharathan said that he feels his mother delayed her own death to help them get accustomed to the emptiness she would leave behind. ""She did not leave us at once...she stopped talking, stopped responding...stayed like that for a while. Towards the end, she lost her memory. She did not respond to anything,"" Sidharth added.",entertainment
76,"
She looked rather lovely: Chunky on trolls criticising daughter Ananya's outfit
","Actress Ananya Panday recently attended producer Apoorva Mehta's 50th birthday party, wearing a black thigh-high slit sheer dress. Several users trolled her for the choice of her outfit. Reacting to the trolls, her father, actor Chunky Panday said that Ananya looked ""rather lovely"". He  further added, ""If her dad doesn't mind, then I don't think anyone else should mind.""",entertainment
77,"
I've always tried to play strong female protagonist in films: Rani
","Actress Rani Mukerji said she has never accepted to be typecast or fit in a mould. ""I've always tried to be part of meaningful films with a very strong female protagonist at the centre of the story,"" she added. Rani further said that she has always wanted to be a part of good films with important stories about Indian women.",entertainment
78,"
Roped in Alia as 'Sita' because we wanted a girl with inner strength: Rajamouli
","Speaking about Alia's role as 'Sita' in RRR, filmmaker SS Rajamouli said it's not a full-fledged character but an important cameo. ""We wanted a soft, fragile-looking girl but who also has enough inner strength...This is why I wanted Alia to do this role,"" he added. ""The length of character [is] less but the importance of the character is...high,"" he said.",entertainment
79,"
Kanye barred from performing at Grammys over 'concerning online behaviour'
","Rapper Kanye West has been barred from performing at the Grammy Awards 2022 due to his ""concerning online behaviour"", said his representative. This comes after West's Instagram account was suspended for 24 hours this week for posting racial comments against 'The Daily Show' host Trevor Noah. Earlier, Noah had criticised West for his posts about his ex-wife, Kim Kardashian. ",entertainment
